LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMEN,ADDRESS,ADDRID,X,Y,DESCRIPTIO
ABRA-060309,One Washington Circle Hotel/Circle Bistro,The George Washington University,C,"Summer Garden,",1 WASHINGTON CIRCLE NW,242366.00000000,395686.80000000,137280.70000000,Hotel
ABRA-060618,"The Fairmont Washington, DC",LHCW Hotel Operating Company(2002)LLC,C,"Entertainment,",2401 M STREET NW,273950.00000000,395509.26000000,137522.61000000,Hotel
ABRA-060660,Ritz Carlton Georgetown,Mpe Hotel I (Georgetown) LLC,C,"Summer Garden, Entertainment,",3100 SOUTH STREET NW,300061.00000000,394648.00000000,137263.68000000,Hotel
ABRA-060796,Gallaudet University Conference Center,"Compass Group USA, Inc.",C,"Entertainment, Dancing,",800 FLORIDA AVENUE NE,288964.00000000,400439.78000000,137546.46000000,Hotel
ABRA-060811,Mandarin Oriental Wash DC Hotel,"Portals Hotelsite, LLC",C,"Summer Garden, Sidewalk Cafe, Entertainment, Dancing,",1330 MARYLAND AVENUE SW,297583.00000000,397358.14000000,135085.41000000,Hotel
ABRA-070893,The Marriott @Metro Center,Ccmh Metro Center LLC,C,"Sidewalk Cafe, Entertainment,",775 12TH STREET NW,239130.00000000,397589.74000000,136834.68000000,Hotel
ABRA-071165,Courtyard By Marriott Embassy Row,"Millbank Partners-Mass Ave., LP",C,None,1600 RHODE ISLAND AVENUE NW,242882.00000000,396793.26000000,137645.95000000,Hotel
ABRA-071819,Four Points Hotel Washington DC Downtown,"JBG/1201 K Hotel, LLC",C,None,1201 K STREET NW,243282.00000000,397531.09000000,137229.35000000,Hotel
ABRA-072156,Phoenix Park & Phoenix Park Hotel,"Phoenix Park Hotel Operating,LLC & Dubliner,Inc.",C,None,520 NORTH CAPITOL STREET NW,237156.00000000,399177.80000000,136581.71000000,Hotel
ABRA-072534,Capitol Skyline Hotel,"Capitol Hospitality, LLC",C,"Summer Garden, Entertainment,",10 I STREET SW,276385.00000000,399155.72000000,134576.96000000,Hotel
ABRA-073292,Washington D C Marriott Wardman Park Hotel,Wardman Hotel LLC,C,"Entertainment, Dancing,",2660 WOODLEY ROAD NW,284450.00000000,395256.86000000,139650.43000000,Hotel
ABRA-074001,Embassy Suites Hotel,"1000 K Street, LLC",C,"Entertainment,",900 10TH STREET NW,300519.00000000,397727.05000000,137129.18000000,Hotel
ABRA-074223,Embassy Suites,"CLPF-CC Pavilion Operating Company, LLC",C,"Entertainment, Dancing,",5335 WISCONSIN AVENUE NW,303179.00000000,392646.48000000,143583.12000000,Hotel
ABRA-074621,The Churchill Hotel,HHC TRS Highland LLC,C,None,1914 CONNECTICUT AVENUE NW,235060.00000000,395927.40000000,138724.01000000,Hotel
ABRA-074721,The Fairfax at Embassy Row,"Pyramid Acquistion II Management, LLC",C,"Entertainment,",2100 MASSACHUSETTS AVENUE NW,225940.00000000,395921.69000000,138070.77000000,Hotel
ABRA-074900,Four Seasons Hotel,"Dtrs Washington, Llc",C,"Summer Garden, Entertainment,",2800 PENNSYLVANIA AVENUE NW,279626.00000000,395034.79000000,137427.61000000,Hotel
ABRA-075008,Melrose Hotel,HHC TRS Melrose LLC,C,"Sidewalk Cafe,",2430 PENNSYLVANIA AVENUE NW,279592.00000000,395430.70000000,137240.97000000,Hotel
ABRA-075025,"The Westin Grand Washington, DC","H S T Lessee CMBS, LLC",C,"Entertainment,",2350 M STREET NW,242338.00000000,395568.16000000,137458.44000000,Hotel
ABRA-075037,Hyatt Regency Washington,"CCHH Host Capitol Hill, LLC",C,"Entertainment, Dancing, Cover Charge",400 NEW JERSEY AVENUE NW,279731.00000000,398984.74000000,136391.14000000,Hotel
ABRA-075078,Hay Adams Hotel,"Hay Adams Holdings, Llc",C,"Summer Garden, Entertainment, Dancing,",800 16TH STREET NW,279937.00000000,396794.25000000,136964.26000000,Hotel
ABRA-075526,The Jefferson Hotel,"Jefferson Beverage Services, LLC",C,"Sidewalk Cafe, Entertainment, Dancing,",1200 16TH STREET NW,242021.00000000,396794.58000000,137565.11000000,Hotel
ABRA-075950,Holiday Inn (Capitol),"Federal Center Hotel Associates, LLC",C,"Sidewalk Cafe, Entertainment, Dancing,",550 C STREET SW,276671.00000000,398297.18000000,135310.64000000,Hotel
ABRA-072743,Pizza No. 17,Pasha International Inc.,C,"Sidewalk Cafe,",1523 17TH STREET NW,225697.00000000,396688.06000000,138079.93000000,Restaurant
ABRA-072746,The Passenger & Columbia Room,Ruppert's Real RestaurantInc.,C,None,1021 7TH STREET NW,238654.00000000,398127.12000000,137315.72000000,Restaurant
ABRA-072783,Sticky Rice,"Bee Hive, LLC",C,"Summer Garden, Entertainment,",1224 H STREET NE,70873.00000000,400927.26000000,136951.19000000,Restaurant
ABRA-072792,Granville Moore's Brickyard,Granville Moore's Brickyard LLC,C,"Summer Garden, Entertainment,",1238 H STREET NE,70241.00000000,400960.31000000,136947.74000000,Restaurant
ABRA-073165,Bobby Van's Grill,Strathroy Park Corp.,C,"Sidewalk Cafe, Entertainment,",1201 NEW YORK AVENUE NW,278918.00000000,397523.81000000,137018.15000000,Restaurant
ABRA-073443,Veranda,"Kovaler, LLC",C,"Summer Garden, Sidewalk Cafe,",1100 P STREET NW,306692.00000000,397624.62000000,137960.91000000,Restaurant
ABRA-073644,Queen of Sheba,"Queen of Sheba, Inc.",C,"Entertainment,",1503 9TH STREET NW,225575.00000000,397935.95000000,137998.69000000,Restaurant
ABRA-073791,Rasika,"Rasika, LLC",C,None,633 D STREET NW,301792.00000000,398153.60000000,136347.79000000,Restaurant
ABRA-073795,Zengo,"RS of Washington D.C., LLC",C,"Entertainment,",781 7TH STREET NW,297665.00000000,398119.16000000,136850.64000000,Restaurant
ABRA-073951,Full Kee Restaurant,"Jun King Provisions, Inc",C,None,509 H STREET NW,238927.00000000,398322.74000000,136905.73000000,Restaurant
ABRA-074004,Jackey Cafe,"Rainbow Inn, Inc",C,None,611 H STREET NW,238698.00000000,398221.74000000,136911.28000000,Restaurant
ABRA-074173,Fogo De Chao Churrascaria,"Fogo De Chao Churrascaria (Washington D.C.),LLC",C,None,1101 PENNSYLVANIA AVENUE NW,242893.00000000,397622.64000000,136367.90000000,Restaurant
ABRA-074175,Ulah Bistro,"LSS, LLC",C,"Summer Garden, Entertainment,",1214 U STREET NW,218057.00000000,397516.01000000,138770.13000000,Restaurant
ABRA-074176,Mai Thai,Mai Thai LLC,C,"Sidewalk Cafe, Entertainment,",1200 19TH STREET NW,241069.00000000,396194.98000000,137584.11000000,Restaurant
ABRA-074222,PS 7's,"Barclay Partners, LLC",C,"Summer Garden,",777 I STREET NW,302918.00000000,398033.29000000,137026.23000000,Restaurant
ABRA-074242,La Carbonara Restaurant,Bekele Fikru,C,"Entertainment,",1926 9TH STREET NW,239489.00000000,397902.77000000,138719.88000000,Restaurant
ABRA-074333,Casbah Cafe/Ledo Pizza Restaurant,SKA Luna Corporation,C,None,1721 WISCONSIN AVENUE NW,275260.00000000,394210.52000000,138507.08000000,Restaurant
ABRA-074433,Dahlak Restaurant,"Dahlak Restaurant, Inc.",C,"Entertainment,",1771 U STREET NW,300677.00000000,396410.95000000,138810.37000000,Restaurant
ABRA-074573,Johnny's Half Shell,"Po' Boy, LLC",C,"Sidewalk Cafe,",400 NORTH CAPITOL STREET NW,242916.00000000,399167.35000000,136394.39000000,Restaurant
ABRA-074661,The Meeting Place,"Guerra, LLC",C,"Entertainment, Dancing, Cover Charge",1100 17TH STREET NW,241793.00000000,396627.14000000,137355.39000000,Restaurant
ABRA-074712,Marx Cafe American Bar,"Dalunas, LLC",C,"Entertainment,",3203 MOUNT PLEASANT STREET NW,284599.00000000,396691.29000000,140387.30000000,Restaurant
ABRA-074714,Momoyama,"Jun & Jin, Inc.",C,None,231 2ND STREET NW,279584.00000000,398832.10000000,136149.05000000,Restaurant
ABRA-074742,Aria,"Aria Management, LLC",C,"Summer Garden,",1300 PENNSYLVANIA AVENUE NW,293198.00000000,397379.12000000,136343.99000000,Restaurant
ABRA-074752,Bobby Lew's,"Brookland, Inc.",C,"Entertainment,",2006 18TH STREET NW,235546.00000000,396368.08000000,138822.56000000,Restaurant
ABRA-074849,La Cabana Restaurant,"Amaya-I, LLC",C,"Entertainment, Dancing,",3614 14TH STREET NW,234806.00000000,397130.79000000,140988.49000000,Restaurant
ABRA-074897,Comet Pizza,"Big Cheese, LLC",C,"Sidewalk Cafe, Entertainment,",5037 CONNECTICUT AVENUE NW,262742.00000000,393935.09000000,143117.88000000,Restaurant
ABRA-074934,Farmers & Fishers,"Farmers & Fishers, LLC",C,"Sidewalk Cafe,",3000 K STREET NW,273872.00000000,394816.78000000,137108.34000000,Restaurant
ABRA-074996,El Camino Real Restaurant I I,Elza E. Lainez,C,"Entertainment,",5217 GEORGIA AVENUE NW,251698.00000000,397632.75000000,142840.51000000,Restaurant
ABRA-075074,Heritage India Brassiere & Lounge,"Heritage Managements Services, LLC",C,None,1337 CONNECTICUT AVENUE NW,279096.00000000,396337.40000000,137825.96000000,Restaurant
ABRA-075081,Sports Club,"Washington Hospitality Partner, LLC",C,"Entertainment,",1170 22ND STREET NW,278909.00000000,395740.86000000,137442.47000000,Restaurant
ABRA-075274,Blt Steak,"BLT Steak DC, LLC",C,"Sidewalk Cafe,",1625 I STREET NW,279274.00000000,396738.33000000,137096.39000000,Restaurant
ABRA-075284,Bistro La Bonne,"Axis Bar & Grill, LLC",C,"Summer Garden, Entertainment,",1340 U STREET NW,279102.00000000,397296.00000000,138771.53000000,Restaurant
ABRA-075297,Tonic,Tonic at Quigley's LLC,C,"Sidewalk Cafe, Entertainment,",2036 G STREET NW,303701.00000000,395966.75000000,136704.97000000,Restaurant
ABRA-075299,Redrocks,Staccato Enterprises Inc.,C,"Summer Garden,",1036 PARK ROAD NW,231003.00000000,397569.56000000,140421.78000000,Restaurant
ABRA-075357,Proof,"Brut, LLC",C,"Sidewalk Cafe, Entertainment,",775 G STREET NW,306115.00000000,398034.84000000,136755.61000000,Restaurant
ABRA-075403,El Nuevo Migueleno,"Nispero, LLC",C,"Sidewalk Cafe, Entertainment, Dancing,",1721 COLUMBIA ROAD NW,235938.00000000,396528.63000000,139654.26000000,Restaurant
ABRA-075442,Bambu,"PRG, Inc.",C,"Summer Garden,",5101 MACARTHUR BOULEVARD NW,224085.00000000,391216.64000000,139719.84000000,Restaurant
ABRA-075456,Ruby Tuesday #5320,Ruby Tuesday Inc,C,None,3365 14TH STREET NW,302895.00000000,397186.01000000,140367.32000000,Restaurant
ABRA-075464,Armand's Chicago Pizzeria,"AY & PS, Inc",C,"Sidewalk Cafe,",226 MASSACHUSETTS AVENUE NE,286765.00000000,399780.39000000,136359.57000000,Restaurant
ABRA-075479,Combination Restaurant,Family's Corporation,C,"Entertainment,",1772 COLUMBIA ROAD NW,235707.00000000,396434.39000000,139502.11000000,Restaurant
ABRA-075536,Miriam's Cafeteria,"Miriam's Cafe, LLC",C,"Entertainment, Dancing,",3931 14TH STREET NW,224892.00000000,397187.91000000,141294.23000000,Restaurant
ABRA-075599,Murasaki Restaurant,Sushi Story LLC,C,"Summer Garden,",4620 WISCONSIN AVENUE NW,264432.00000000,392985.43000000,142496.30000000,Restaurant
ABRA-075607,Central-Michel Richard,"Central Resto, LLC",C,None,1001 PENNSYLVANIA AVENUE NW,239376.00000000,397700.68000000,136355.77000000,Restaurant
ABRA-075613,Stoney's,"Stoney's, L L C",C,"Sidewalk Cafe, Entertainment,",1433 P STREET NW,279170.00000000,397112.41000000,138003.06000000,Restaurant
ABRA-075631,BANDOLERO,Pure Hospitality LLC,C,None,3241 M STREET NW,271984.00000000,394429.19000000,137498.55000000,Restaurant
ABRA-075684,Mandu,Combined Food Services Of Virginia Inc,C,"Sidewalk Cafe,",1805 18TH STREET NW,279403.00000000,396401.84000000,138500.22000000,Restaurant
ABRA-075703,Rugby Cafe,"Polo DC, LLC/Rugbycafe, LLC",C,"Sidewalk Cafe,",1065 WISCONSIN AVENUE NW,273842.00000000,394582.00000000,137408.91000000,Restaurant
ABRA-075836,Napoleon,The Popal Group LLC,C,"Summer Garden, Entertainment,",1847 COLUMBIA ROAD NW,300764.00000000,396191.22000000,139270.06000000,Restaurant
ABRA-075870,Al Tiramisu,"Al Tiramisu, Inc.",C,None,2014 P STREET NW,242648.00000000,396047.66000000,137950.00000000,Restaurant
ABRA-075875,Sichuan Pavilion,Ku-Washington Corporation,C,None,1814 K STREET NW,307943.00000000,396307.09000000,137153.04000000,Restaurant
ABRA-075944,Oyamel,"Oyamel DC, LLC",C,"Sidewalk Cafe, Entertainment,",401 7TH STREET NW,279733.00000000,398120.39000000,136344.06000000,Restaurant
ABRA-076011,Red Lounge,"Salma, LLC",C,"Entertainment, Dancing, Cover Charge",2013 14TH STREET NW,240339.00000000,397258.37000000,138845.27000000,Restaurant
ABRA-076070,Casa Oaxaca,Casa Oaxaca Inc,C,None,2106 18TH STREET NW,235521.00000000,396364.18000000,138917.89000000,Restaurant
ABRA-076072,Mio Restaurant,"Mio, DC, LLC",C,"Summer Garden, Entertainment, Dancing, Cover Charge",1110 VERMONT AVENUE NW,240248.00000000,397118.27000000,137384.18000000,Restaurant
ABRA-076074,Circa at Dupont,"MHG Cafe Dupont, LLC",C,"Sidewalk Cafe, Entertainment,",1601 CONNECTICUT AVENUE NW,241051.00000000,396176.18000000,138169.06000000,Restaurant
ABRA-076102,Austin Grill,"Austin Grill, LLC",C,"Sidewalk Cafe,",750 E STREET NW,279929.00000000,398052.97000000,136454.10000000,Restaurant
ABRA-076125,Sisy's,Sisy's Salvadorean & Mexican Restaurant Inc.,C,None,3911 14TH STREET NW,225132.00000000,397185.84000000,141238.58000000,Restaurant
ABRA-076140,Logan @ The Heights,"Columbia Grill, LLC",C,"Summer Garden,",1390 KENYON STREET NW,301099.00000000,397206.97000000,140193.78000000,Restaurant
ABRA-076177,Asia Nine Bar and Lounge,"Centerpoint Nine, LLC",C,"Sidewalk Cafe, Entertainment,",915 E STREET NW,239822.00000000,397825.67000000,136501.42000000,Restaurant
ABRA-076260,Langston Bar & Grille,"Langston Bar & Grille, LLC",C,None,1831 BENNING ROAD NE,55096.00000000,402009.06000000,136767.77000000,Restaurant
ABRA-076380,Aoi Japnese Restaurant,"L'Aziatique, Inc.",C,"Summer Garden,",1100 NEW YORK AVENUE NW,297684.00000000,397619.45000000,136979.92000000,Restaurant
ABRA-076383,Brasserie Beck,"1101 K Street Restaurant, LLC",C,"Sidewalk Cafe,",1101 K STREET NW,300315.00000000,397622.04000000,137223.17000000,Restaurant
ABRA-076388,Vapiano,"VAP 1800 M Street, LLC",C,"Summer Garden,",1800 M STREET NW,241302.00000000,396336.44000000,137497.81000000,Restaurant
ABRA-076432,Odalis Restaurant,"Odalis Restaurant, LLC",C,"Entertainment,",827 KENNEDY STREET NW,254485.00000000,397813.17000000,143181.74000000,Restaurant
ABRA-076435,Old Glory,Old Glory-DC LLC,C,"Summer Garden, Entertainment, Cover Charge",3139 M STREET NW,272017.00000000,394604.90000000,137504.77000000,Restaurant
ABRA-076441,Woodley Cafe,"Woodley Cafe Partners, Inc.",C,"Sidewalk Cafe,",2619 CONNECTICUT AVENUE NW,219105.00000000,395543.71000000,139588.22000000,Restaurant
ABRA-076457,Co Co Sala,"C3Fix, LLC",C,"Sidewalk Cafe, Entertainment,",927 F STREET NW,295115.00000000,397810.22000000,136631.33000000,Restaurant
ABRA-076495,Bistro Du Coin,"Yami, LLC",C,"Entertainment,",1738 CONNECTICUT AVENUE NW,242579.00000000,395997.25000000,138434.70000000,Restaurant
ABRA-076620,Plum Blossom,Good Fortune Inc,C,"Sidewalk Cafe,",1915 18TH STREET NW,241426.00000000,396410.21000000,138685.33000000,Restaurant
ABRA-076672,"El Pulgarcito of America, LLC","El Pulgarcito of America, LLC",C,"Entertainment,",5313 GEORGIA AVENUE NW,254653.00000000,397611.89000000,142965.35000000,Restaurant
ABRA-076676,The Green Turtle,"GT Capitol, LLC",C,"Sidewalk Cafe, Entertainment,",601 F STREET NW,238712.00000000,398182.26000000,136676.82000000,Restaurant
ABRA-076693,Grand Central,"Grand Central, LLC",C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",2447 18TH STREET NW,218136.00000000,396353.02000000,139320.50000000,Restaurant
ABRA-076727,Vapiano,"Vap H Street, LLC",C,None,623 H STREET NW,238694.00000000,398176.40000000,136918.20000000,Restaurant
ABRA-076750,Asian Spice,"LPK, Inc.",C,"Sidewalk Cafe,",717 H STREET NW,238406.00000000,398034.14000000,136911.26000000,Restaurant
ABRA-076754,Pi,"Notta Tav Urne, LLC",C,"Summer Garden,",2309 18TH STREET NW,242864.00000000,396402.52000000,139125.59000000,Restaurant
ABRA-076803,RIS,"Bullard Street, LLC",C,"Sidewalk Cafe, Entertainment,",2275 L STREET NW,307948.00000000,395680.86000000,137345.61000000,Restaurant
ABRA-076804,Policy(2 SWCafes & 1 SGarden),"The Griffin Group, LLC",C,"Summer Garden, Sidewalk Cafe, Entertainment,",1904 14TH STREET NW,218552.00000000,397208.43000000,138656.29000000,Restaurant
ABRA-076814,Szechuan House Restaurant Fusian Grill,Szuchuan House Inc.,C,"Sidewalk Cafe, Entertainment,",515 8TH STREET SE,12344.00000000,400404.83000000,134932.22000000,Restaurant
ABRA-076893,Indian Ocean,Aisha Jamil Corp,C,None,4221 CONNECTICUT AVENUE NW,309008.00000000,394552.23000000,141770.13000000,Restaurant
ABRA-076962,Momiji,Momiji Rest. Corp,C,"Summer Garden,",505 H STREET NW,238934.00000000,398336.11000000,136904.29000000,Restaurant
ABRA-076966,Blues Alley Jazz,"Blues Alley Jazz, LLC",C,"Entertainment, Cover Charge",1069 WISCONSIN AVENUE NW,273840.00000000,394573.22000000,137418.49000000,Restaurant
ABRA-077039,James Hoban's,"The Bards of Washington, LLC",C,"Sidewalk Cafe, Entertainment,",1 DUPONT CIRCLE NW,241055.00000000,396140.80000000,137911.97000000,Restaurant
ABRA-077061,Founding Farmers,Founding Farmers LLC,C,"Summer Garden, Sidewalk Cafe,",1900 PENNSYLVANIA AVENUE NW,300809.00000000,396168.02000000,136916.85000000,Restaurant
ABRA-077111,Cork,"K & D, LLC",C,"Sidewalk Cafe,",1720 14TH STREET NW,240120.00000000,397191.24000000,138384.67000000,Restaurant
ABRA-077127,Georgia Brown's,"GBR-DC, LLC",C,"Sidewalk Cafe, Entertainment,",950 15TH STREET NW,300986.00000000,396975.53000000,137139.58000000,Restaurant
ABRA-077128,Hudson,"DC Metro Management, LLC",C,"Sidewalk Cafe, Entertainment,",2030 M STREET NW,240940.00000000,395986.21000000,137500.89000000,Restaurant
ABRA-077157,Pasara Thai DC,Jidapa Corporation,C,"Entertainment, Cover Charge",1219 CONNECTICUT AVENUE NW,278950.00000000,396428.34000000,137631.49000000,Restaurant
ABRA-077276,Cashions Eat Place,"Credence, LLC",C,"Sidewalk Cafe, Entertainment,",1819 COLUMBIA ROAD NW,235360.00000000,396213.74000000,139336.13000000,Restaurant
ABRA-077337,Le Pain Quotidien,"PQ Georgetown, Inc.",C,"Sidewalk Cafe,",2815 M STREET NW,272087.00000000,395007.39000000,137514.14000000,Restaurant
ABRA-077350,1905,"Bouche, LLC",C,"Summer Garden, Entertainment,",1905 9TH STREET NW,239848.00000000,397941.98000000,138674.98000000,Restaurant
ABRA-077454,Marleny's Restaurant & Carryout,Marleny's Restaurant Inc.,C,None,3201 MOUNT PLEASANT STREET NW,233546.00000000,396691.78000000,140377.58000000,Restaurant
ABRA-077546,CB Twelve Twelve,"Lidet, LLC",C,"Entertainment, Dancing, Cover Charge",1212 U STREET NW,218055.00000000,397521.24000000,138770.99000000,Restaurant
ABRA-077562,Moroni & Brothers Pizza Restaurant,Moroni & Brothers Inc.,C,"Entertainment,",4811 GEORGIA AVENUE NW,252038.00000000,397689.23000000,142312.75000000,Restaurant
ABRA-077565,The Source by Wolfgang Puck,"Wolfgang Puck Catering and Events, LLC",C,"Entertainment, Dancing,",575 PENNSYLVANIA AVENUE NW,305119.00000000,398297.87000000,136164.44000000,Restaurant
ABRA-077574,Vinoteca,"Pac Concepts, Inc.",C,"Summer Garden, Sidewalk Cafe, Entertainment,",1940 11TH STREET NW,279497.00000000,397632.22000000,138762.79000000,Restaurant
ABRA-077576,Epicurean and Company,"Vigor Restaurant, LLC",C,"Entertainment,",3800 RESERVOIR ROAD NW,291547.00000000,393470.87000000,138262.65000000,Restaurant
ABRA-077797,Cafe 8,"Cafe Bistro MED, LLC",C,"Sidewalk Cafe,",424 8TH STREET SE,148433.00000000,400461.52000000,135022.35000000,Restaurant
ABRA-077812,Teatro Goldoni,"TGR, Inc.",C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",1909 K STREET NW,243209.00000000,396176.13000000,137218.12000000,Restaurant
ABRA-077964,Busboys & Poets,"Busboy, Inc.",C,"Summer Garden, Entertainment,",1025 5TH STREET NW,305160.00000000,398377.59000000,137217.96000000,Restaurant
ABRA-078003,Corduroy,"Corduroy, LLC",C,None,1122 9TH STREET NW,239795.00000000,397896.16000000,137469.66000000,Restaurant
ABRA-078028,Darlington House: Cantina/Kitchen/Library,"Box 20, Inc.",C,"Sidewalk Cafe, Entertainment,",1610 20TH STREET NW,242595.00000000,396081.08000000,138197.13000000,Restaurant
ABRA-078085,Breadsoda,"Glover Park F & B, LLC",C,"Summer Garden, Sidewalk Cafe, Entertainment, Dancing, Cover Charge",2233 WISCONSIN AVENUE NW,284312.00000000,393862.34000000,139121.26000000,Restaurant
ABRA-078091,Black Squirrel,"AAB, LLC",C,"Sidewalk Cafe, Entertainment,",2427 18TH STREET NW,235603.00000000,396365.74000000,139263.29000000,Restaurant
ABRA-075952,W Washington DC,"Istithmar Hotels Washington, LLC",C,"Summer Garden, Sidewalk Cafe, Entertainment, Dancing, Cover Charge",515 15TH STREET NW,279820.00000000,397103.43000000,136567.81000000,Hotel
ABRA-076156,L'Enfant Plaza Hotel,Potomac Creek Associates LLC,C,"Entertainment, Dancing, Cover Charge",480 L''ENFANT PLAZA SW,302307.00000000,397885.97000000,135118.50000000,Hotel
ABRA-076629,Washington Marriott Hotel (The),"RP/HH 22nd St. Owner, LLC",C,"Entertainment, Dancing,",1221 22ND STREET NW,300163.00000000,395794.15000000,137580.78000000,Hotel
ABRA-023794,Grillfish,"Grillfish of Washington DC, LLC",C,"Sidewalk Cafe,",1200 NEW HAMPSHIRE AVENUE NW,242474.00000000,395867.08000000,137550.87000000,Restaurant
ABRA-023816,Miss Saigon,"Miss Saigon Of Georgetown ,Inc.",C,None,3057 M STREET NW,272063.00000000,394750.17000000,137509.83000000,Restaurant
ABRA-023943,Raku An Asian Diner,D G Holdings Inc.,C,"Sidewalk Cafe,",1900 Q STREET NW,302225.00000000,396215.10000000,138126.41000000,Restaurant
ABRA-024105,Daily Grill,"Grill Concepts-DC, Inc.",C,None,1200 18TH STREET NW,241292.00000000,396352.33000000,137565.76000000,Restaurant
ABRA-024197,Habana Village,"Multi-management, Inc.",C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",1834 COLUMBIA ROAD NW,235389.00000000,396258.42000000,139318.55000000,Restaurant
ABRA-013769,Berkshire Food & Drug Inc.,Hong S Jeon & Kim D Jeon,B,None,4201 MASSACHUSETTS AVENUE NW,294461.00000000,392894.34000000,140889.15000000,Retail - Grocery
ABRA-013972,Jones Deli,"Jones Deli Co., Inc",B,None,4350 TEXAS AVENUE SE,22871.00000000,405017.70000000,135060.19000000,Retail - Grocery
ABRA-013994,Cathedral Pharmacy,P & M Pharmacy Inc,B,None,3000 CONNECTICUT AVENUE NW,219893.00000000,395182.06000000,140225.08000000,Retail - Grocery
ABRA-014153,Oasis,Oasis Inc.,B,None,2024 P STREET NW,242646.00000000,396009.76000000,137953.17000000,Retail - Grocery
ABRA-014355,Seaton Market,Hi Il Lee & Jung Ae Lee,B,None,1822 NORTH CAPITOL STREET NW,227112.00000000,399182.54000000,138536.28000000,Retail - Grocery
ABRA-014531,Yang's Market,Yong Ko & Yong Sun Ko,B,None,138 U STREET NE,65513.00000000,399548.02000000,138814.96000000,Retail - Grocery
ABRA-014581,Circle 7 Market,Parkside Associates Limited Partnership,B,None,740 KENILWORTH AVENUE NE,288937.00000000,404607.06000000,136990.60000000,Retail - Grocery
ABRA-014926,Vace Italian Deli,Vace Inc,B,None,3315 CONNECTICUT AVENUE NW,219236.00000000,395043.71000000,140682.07000000,Retail - Grocery
ABRA-014994,Me & My Super Market,Woong Shik Shim & Young Ok Shim,B,None,1111 H STREET NE,74122.00000000,400782.02000000,136895.35000000,Retail - Grocery
ABRA-016999,Glover Park Market,Nicholas & Alexis Inc.,B,None,2411 37TH STREET NW,284384.00000000,393677.88000000,139291.85000000,Retail - Grocery
ABRA-017577,Scheele's Market,Lee Shin K And Kye S,B,None,1331 29TH STREET NW,223561.00000000,394970.65000000,137773.60000000,Retail - Grocery
ABRA-017772,Manhattan Market,Manhattan Market Inc,B,None,2647 CONNECTICUT AVENUE NW,284449.00000000,395500.63000000,139670.33000000,Retail - Grocery
ABRA-018083,Dean & Deluca,"Dean & Deluca of Georgetown, Inc",B,"Tasting,",3276 M STREET NW,273712.00000000,394349.18000000,137435.69000000,Retail - Grocery
ABRA-019046,Randall Grocery,"B & S Business Enterprises, Inc.",B,None,2924 MINNESOTA AVENUE SE,287329.00000000,403004.84000000,134284.12000000,Retail - Grocery
ABRA-019249,Martha's Market,"Ethiopic Enterprise, Inc.",B,None,2400 MINNESOTA AVENUE SE,287016.00000000,402413.26000000,133908.89000000,Retail - Grocery
ABRA-019616,Chinatown Market,Ng Shu Kwan,B,None,521 H STREET NW,297634.00000000,398294.38000000,136903.44000000,Retail - Grocery
ABRA-021260,14th Mini-market,"Solneb, Incorporated",B,None,3904 14TH STREET NW,259043.00000000,397138.48000000,141215.00000000,Retail - Grocery
ABRA-021489,Martin Luther King's Grocery,P A C K Corporation,B,"Tasting,",2420 MARTIN LUTHER KING JR AVENUE SE,47224.00000000,400626.67000000,132708.06000000,Retail - Grocery
ABRA-021578,Dupont Market,1807 Corporation,B,None,1807 18TH STREET NW,279405.00000000,396401.90000000,138509.94000000,Retail - Grocery
ABRA-021721,Andy's Carryout,No Jun Choon & Myong A,B,None,209 NEW YORK AVENUE NW,218612.00000000,398778.97000000,137554.02000000,Retail - Grocery
ABRA-022045,Fresh Fields Whole Foods Market,Whole Foods Market Group Inc,B,None,2323 WISCONSIN AVENUE NW,284358.00000000,393789.84000000,139230.75000000,Retail - Grocery
ABRA-023329,A-1 Grocery,Han & Sook Inc,B,None,615 DIVISION AVENUE NE,4148.00000000,406460.41000000,136670.83000000,Retail - Grocery
ABRA-023503,Missouri Avenue Market,"Rufael, Incorporation",B,None,5900 GEORGIA AVENUE NW,253189.00000000,397536.12000000,143734.68000000,Retail - Grocery
ABRA-024753,Samber Food Store,David & Cindy Incorporated,B,"Tasting,",3243 MOUNT PLEASANT STREET NW,284618.00000000,396668.31000000,140461.02000000,Retail - Grocery
ABRA-025169,China House,Wen De Zhang & Yang You Feng,B,None,1601 BENNING ROAD NE,60353.00000000,401610.07000000,136849.67000000,Retail - Grocery
ABRA-025519,Avenue Supermarket,"DK & CMK, Inc.",B,None,5010 NEW HAMPSHIRE AVENUE NW,306154.00000000,398928.23000000,142610.63000000,Retail - Grocery
ABRA-025561,Royal Market,J & B Incorporated,B,None,4600 14TH STREET NW,255536.00000000,397139.14000000,142043.13000000,Retail - Grocery
ABRA-025637,Gold Corner Market,Jes Corporation,B,None,5501 COLORADO AVENUE NW,285216.00000000,397153.00000000,143161.96000000,Retail - Grocery
ABRA-026009,ABC Grocery,Ibnoujala Khalid,B,None,522 K STREET NE,11461.00000000,400118.07000000,137212.78000000,Retail - Grocery
