LICENSE,TRADE_NAME,APPLICANT,CLASS,ENDORSEMEN,ADDRESS,ADDRID,X,Y,DESCRIPTIO
ABRA-060658,L'Enfant Cafe & Bar,"L'Enfant Enterprises, LLC",C,"Sidewalk Cafe, Entertainment, Cover Charge",2000 18TH STREET NW,235554.00000000,396366.44000000,138806.78000000,Restaurant
ABRA-060669,Sette,Style Inc.,C,"Sidewalk Cafe,",1666 CONNECTICUT AVENUE NW,242635.00000000,396059.03000000,138272.99000000,Restaurant
ABRA-060678,Bangkok Joe's,"Bangkok Joe's, LLC",C,"Sidewalk Cafe,",3000 K STREET NW,273872.00000000,394816.78000000,137108.34000000,Restaurant
ABRA-060689,Capitol Hill Tandor and Grill,"Shallamar Enterprises, LLC",C,"Sidewalk Cafe,",419 8TH STREET SE,25834.00000000,400408.73000000,135027.96000000,Restaurant
ABRA-060697,Dynasty Ethiopian Restaurant,"F & Z Enterprises, Inc.",C,"Entertainment, Dancing,",2210 14TH STREET NW,239924.00000000,397194.11000000,139081.09000000,Restaurant
ABRA-060702,Ceiba,"Passion Food Three, LLC",C,None,1341 G STREET NW,240652.00000000,397270.13000000,136746.84000000,Restaurant
ABRA-078301,Bodega,"Malabata, LLC",C,"Summer Garden,",3116 M STREET NW,279665.00000000,394643.99000000,137458.15000000,Restaurant
ABRA-078332,Et Voila,"A Modo Mio, Inc.",C,"Sidewalk Cafe,",5120 MACARTHUR BOULEVARD NW,285100.00000000,391127.71000000,139733.78000000,Restaurant
ABRA-078406,Surfside,"Madaket, LLC",C,"Summer Garden,",2444 WISCONSIN AVENUE NW,284391.00000000,393679.94000000,139355.81000000,Restaurant
ABRA-060535,Ristorante La Perla,Ischia Inc.,C,"Summer Garden,",2600 PENNSYLVANIA AVENUE NW,274801.00000000,395220.84000000,137348.04000000,Restaurant
ABRA-078475,19th,"Pangean Investment Group, LLC",C,"Summer Garden, Entertainment, Dancing, Cover Charge",1919 PENNSYLVANIA AVENUE NW,241082.00000000,396156.60000000,137007.60000000,Restaurant
ABRA-078742,Sei Restaurant & Lounge,"Sei Restaurant & Lounge, LLC",C,None,444 7TH STREET NW,279783.00000000,398074.03000000,136432.07000000,Restaurant
ABRA-078790,Satay Club Asian Restaurant,Chen & Zheng Inc.,C,None,4654 WISCONSIN AVENUE NW,284950.00000000,392972.47000000,142551.26000000,Restaurant
ABRA-078882,Eatonville,"Eatonville, Inc.",C,"Summer Garden, Entertainment,",2121 14TH STREET NW,306453.00000000,397257.92000000,138946.65000000,Restaurant
ABRA-078941,Tara Thai,"Tara Thai Spring Valley, Inc.",C,"Summer Garden,",4849 MASSACHUSETTS AVENUE NW,284994.00000000,391700.17000000,141990.11000000,Restaurant
ABRA-078949,Rocklands Barbeque and Grilling Company,JBS Inc,C,None,2418 WISCONSIN AVENUE NW,289360.00000000,393709.33000000,139297.21000000,Restaurant
ABRA-078979,Nando's Peri Peri,Nandos Restaurant Group Inc.,C,None,819 7TH STREET NW,285564.00000000,398124.31000000,136952.41000000,Restaurant
ABRA-079042,Paragon Thai Restaurant,"Paragon Thai Restaurant, Inc.",C,None,3507 CONNECTICUT AVENUE NW,284704.00000000,394963.34000000,140897.34000000,Restaurant
ABRA-079108,Royal Thai Cuisine & Bar,"BP Group, Inc.",C,None,507 H STREET NW,238926.00000000,398329.78000000,136905.23000000,Restaurant
ABRA-079141,Posto,"Fasa, LLC",C,"Sidewalk Cafe,",1515 14TH STREET NW,279214.00000000,397257.88000000,138049.93000000,Restaurant
ABRA-086034,Serendipity 3,"3150 M Restaurant Group, LLC",C,None,3150 M STREET NW,279671.00000000,394568.42000000,137461.23000000,Restaurant
ABRA-086125,Lincoln,"Apple Hospitality, LLC",C,"Sidewalk Cafe, Entertainment,",1110 VERMONT AVENUE NW,240248.00000000,397118.27000000,137384.18000000,Restaurant
ABRA-086142,Senart's Oyster & Chop House,"Senart's Oyster House, LLC",C,"Sidewalk Cafe,",520 8TH STREET SE,152330.00000000,400459.23000000,134903.21000000,Restaurant
ABRA-086148,Molly Malone's,"Molly Malone's, LLC",C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",713 8TH STREET SE,77119.00000000,400409.24000000,134769.95000000,Restaurant
ABRA-086154,FUDDRUCKERS,"Luby's Fuddruckers Restaurant, LLC",C,None,734 7TH STREET NW,238410.00000000,398080.15000000,136862.18000000,Restaurant
ABRA-086192,Station 4,"Hubalou, LLC",C,"Summer Garden, Entertainment,",1101 4TH STREET SW,307156.00000000,398425.11000000,134419.16000000,Restaurant
ABRA-086193,The Cajun Experience DC,"The Cajun Experience DC, LLC",C,"Summer Garden, Entertainment,",1825 18TH STREET NW,241554.00000000,396406.62000000,138574.89000000,Restaurant
ABRA-086205,Ghion Restaurant and Lounge,"Flora Restaurant and Lounge, LLC",C,"Entertainment,",2010 9TH STREET NW,239457.00000000,397903.73000000,138835.38000000,Restaurant
ABRA-086210,TruOrleans,TBM Holdings LLC,C,"Sidewalk Cafe, Entertainment,",400 H STREET NE,28326.00000000,399965.42000000,136956.31000000,Restaurant
ABRA-086226,HOT AND JUICY CRAWFISH,"PANDA BEAR, LLC.",C,"Sidewalk Cafe,",2651 CONNECTICUT AVENUE NW,219110.00000000,395491.20000000,139684.67000000,Restaurant
ABRA-086253,Zabb Asian Restaurant,"Kampai, LLC",C,"Summer Garden, Sidewalk Cafe,",1836 18TH STREET NW,302223.00000000,396370.32000000,138598.40000000,Restaurant
ABRA-086254,Luna Grill,"LGA, Inc.",C,"Sidewalk Cafe,",1301 CONNECTICUT AVENUE NW,241267.00000000,396360.35000000,137751.03000000,Restaurant
ABRA-086270,Ping Pong,Ping Pong Three LLC,C,"Summer Garden, Sidewalk Cafe,",1 DUPONT CIRCLE NW,241055.00000000,396140.80000000,137911.97000000,Restaurant
ABRA-086295,Medium Rare,"Medium Rare Cleveland Park, LLC",C,"Summer Garden,",3500 CONNECTICUT AVENUE NW,277550.00000000,394889.47000000,140873.67000000,Restaurant
ABRA-086298,Toledo Lounge,"Tas, LLC",C,"Sidewalk Cafe,",2435 18TH STREET NW,235607.00000000,396361.06000000,139284.07000000,Restaurant
ABRA-086319,Cities,"Cities, LLC",C,"Sidewalk Cafe, Entertainment, Dancing, Cover Charge",919 19TH STREET NW,308910.00000000,396259.30000000,137115.71000000,Restaurant
ABRA-086339,FIOLA,"FT DC, LLC",C,"Summer Garden, Entertainment,",601 PENNSYLVANIA AVENUE NW,226088.00000000,398221.46000000,136161.65000000,Restaurant
ABRA-086355,Bistrot Le Zinc,"Les Deux Garcons, LLC",C,"Sidewalk Cafe,",3712 MACOMB STREET NW,275664.00000000,393665.65000000,140603.90000000,Restaurant
ABRA-086361,District of Pi,"202 By Pi, LLC",C,"Entertainment,",912 F STREET NW,239831.00000000,397861.09000000,136586.37000000,Restaurant
ABRA-086384,Acre 121,Highland Restaurant Group LLC,C,"Summer Garden, Entertainment, Cover Charge",1400 IRVING STREET NW,302718.00000000,397084.72000000,140072.09000000,Restaurant
ABRA-086393,Beau Thai Restaurant,Beau Thai LLC,C,"Summer Garden,",1700 NEW JERSEY AVENUE NW,237228.00000000,398453.91000000,138320.97000000,Restaurant
ABRA-086500,Graffiato,"Isabella Bella, LLC",C,None,707 6TH STREET NW,238947.00000000,398301.50000000,136758.54000000,Restaurant
ABRA-086508,Rogue 24,"Rogue 24, LLC",C,None,922 N STREET NW,239757.00000000,397843.65000000,137691.01000000,Restaurant
ABRA-086595,La Morenita,"La Morenita Restaurant, LLC",C,None,3539 GEORGIA AVENUE NW,218187.00000000,397944.97000000,140667.70000000,Restaurant
ABRA-086644,Das Ethiopian Cuisine,"Das Ethiopian, Inc.",C,"Sidewalk Cafe,",1201 28TH STREET NW,272111.00000000,395067.47000000,137505.21000000,Restaurant
ABRA-086659,Al Crostino,"Davali, LLC",C,None,1324 U STREET NW,279064.00000000,397341.12000000,138768.29000000,Restaurant
