1A,62
1B,114
1C,96
1D,20
2A,78
2B,233
2C,172
2D,6
2E,107
2F,77
3B,24
3C,64
3D,24
3E,37
3F,18
3G,10
4A,10
4B,23
4C,37
4D,27
5A,7
5B,15
5C,35
5D,37
5E,38
6A,49
6B,86
6C,65
6D,38
6E,35
7B,11
7C,11
7D,15
7E,7
7F,10
8A,13
8B,3
8C,11
8D,10
8E,3
