1A02,1
1A04,2
1A05,2
1A06,5
1A07,1
1A09,2
1A10,2
1A11,1
1A12,1
1B01,4
1B09,1
1B10,2
1B11,5
1B12,5
1C01,1
1C02,1
1C04,1
1C07,3
1D01,1
1D03,1
1D05,1
2A04,3
2A06,5
2A07,2
2A08,4
2B01,2
2B02,1
2B03,2
2B04,2
2B05,5
2B06,13
2B07,3
2B08,2
2B09,2
2C01,11
2C03,1
2D01,1
2D02,1
2E01,3
2E02,2
2E03,3
2E05,1
2E06,4
2E07,2
2E08,2
2F01,2
2F02,1
2F03,2
2F04,2
2F05,8
2F07,1
2F08,1
3B03,1
3C01,2
3C04,1
3C05,3
3C07,1
3C08,1
3C09,1
3D01,2
3D02,4
3D04,3
3D05,2
3D06,3
3D09,2
3E01,1
3E03,3
3E04,2
3E05,1
3F03,3
3F06,1
3F07,1
3G01,2
3G03,1
3G04,5
3G05,3
3G06,3
3G07,1
4A01,3
4A02,1
4A04,1
4B06,1
4C02,1
4C03,1
4C05,2
4C06,2
4C07,1
4C08,1
4C09,1
4C10,3
4D03,1
4D05,1
4D06,1
5A01,1
5A06,1
5A08,1
5B01,3
5B02,2
5B03,2
5C01,2
5C02,4
5C04,7
5C05,1
5C07,1
5D02,1
5D05,2
5D06,1
5D07,2
5E01,1
5E02,1
5E03,2
5E04,2
5E05,2
5E06,1
5E07,1
5E08,1
5E09,1
5E10,1
6A01,3
6A02,3
6A03,1
6A04,2
6A05,2
6A06,2
6A08,1
6B01,1
6B03,1
6B04,2
6B05,1
6B06,4
6B08,1
6B10,3
6C01,1
6C02,2
6C03,2
6C04,3
6C05,2
6C06,11
6D01,3
6D02,2
6D03,2
6D06,2
6D07,11
6E01,1
6E02,5
6E04,6
6E05,2
7B02,2
7B04,1
7C02,1
7C04,1
7C06,2
7C07,3
7D01,1
7D02,1
7E01,1
7E04,2
7E06,1
7F06,1
8A01,1
8A02,1
8A06,2
8A07,1
8C03,2
8C04,3
8D07,1
8E01,1
8E05,3
8E07,1
